English,Vietnamese,Category
to eat,ăn,Verbs
to be,là,Verbs
to want,muốn,Verbs
to drink,uống,Verbs
to press flat,ép,Verbs
to turn,quay,Verbs
to spin,quay,Verbs
to learn,học,Verbs
to study,học,Verbs
to take (a course),học,Verbs
to bite,cắn,Verbs
to have,có,Verbs
to share,chia sẻ,Verbs
to kick,đá,Verbs
to record (sound),ghi âm,Verbs
to ask,hỏi,Verbs
to hide,giấu,Verbs
to fall,ngã,Verbs
to draw,vẽ,Verbs
to practice,luyện tập,Verbs
to read,đọc,Verbs
to call,gọi,Verbs
to order (food),gọi,Verbs
to like,thích,Verbs
to go,đi,Verbs
to say,nói (với),Verbs
to speak,nói (với),Verbs
to talk,nói (với),Verbs
to repeat,lặp lại,Verbs
to write,viết,Verbs
to take off (clothes),cởi,Verbs
to wear (clothes),mặc,Verbs
to wear (accessories),mang,Verbs
to wear (on head),đội,Verbs
to hear,nghe,Verbs
to buy,mua,Verbs
to look at,nhìn (vào),Verbs
to see,nhìn thấy,Verbs
to notice ,nhìn thấy,Verbs
to watch,xem,Verbs
to give,cho,Verbs
to let,cho,Verbs
to cook,nấu (ăn),Verbs
to love,yêu,Verbs
to know,biết,Verbs
to laugh,cười,Verbs
to smile,cười,Verbs
to cry,khóc,Verbs
to sleep,ngủ,Verbs
to listen,lắng nghe,Verbs
to use,dùng,Verbs
to sell,bán,Verbs
to walk,đi bộ,Verbs
to open,mở,Verbs
to look for,tìm,Verbs
to play,chơi,Verbs
to need,cần,Verbs
to require,cần,Verbs
to help,giúp đỡ,Verbs
to swim,bơi,Verbs
to support,ủng hộ,Verbs
to support,hỗ trợ,Verbs
to take,lấy,Verbs
to marry,lấy,Verbs
to sing,hát,Verbs
to run,chạy bộ,Verbs
to work,làm việc,Verbs
to start,bắt đầu,Verbs
to begin,bắt đầu,Verbs
to put (smth),để,Verbs
to leave (smth),để,Verbs
to think,nghĩ,Verbs
to reflect,suy nghĩ,Verbs
to jump,nhảy,Verbs
to dance,nhảy múa,Verbs
to dance,múa,Verbs
to dance,đứng,Verbs
to sit,ngồi,Verbs
to answer,trả lời,Verbs
to respond,trả lời,Verbs
to do,làm,Verbs
to make ,làm,Verbs
to become,trở thành (n),Verbs
to become,trở nên (adj),Verbs
to exist,tồn tại,Verbs
to live (sw),sống,Verbs
to agree,đồng ý,Verbs
to allow,cho phép,Verbs
to change (character),thay đổi,Verbs
to win,thắng,Verbs
to defeat,chiến thắng,Verbs
to believe (that),tin (là),Verbs
to trust (that),tin (là),Verbs
to fail,thắt bại,Verbs
to succeed ,thành công,Verbs
to try (to),cố gắng (để),Verbs
to attempt (to),cố gắng (để),Verbs
to try,thử,Verbs
to sample,thử,Verbs
to distinguish (from),phân biệt ... (với / và),Verbs
to invent,phát minh,Verbs
to protect,bảo vệ,Verbs
to understand,hiểu,Verbs
to send,gửi,Verbs
to gift,tặng,Verbs
to stop,dừng,Verbs
to turn off,tắt,Verbs
to produce,sản xuất,Verbs
to turn on,bật,Verbs
to hug,ôm,Verbs
to cover,ôm,Verbs
to kiss,hôn,Verbs
to challenge ,thử thách,Verbs
to discuss ,thảo luận,Verbs
to communicate,giao tiếp,Verbs
to get to know,tìm hiểu,Verbs
to learn about,tìm hiểu,Verbs
to explore (a subject),tìm hiểu,Verbs
to publish ,xuất bản,Verbs
to give,(đưa) cho,Verbs
to return,trở về,Verbs
to return,trở lại,Verbs
to hope,hy vọng,Verbs
to hibernate ,ngủ đông,Verbs
to realize,nhận ra,Verbs
to recognize,nhận ra,Verbs
to discover,phát hiện,Verbs
to affirm (that),khẳng định (là),Verbs
to punish,trừng phạt,Verbs
to appreciate (that),đánh giá cao (việc),Verbs
to cooperate,hợp tác,Verbs
to advise to,khuyên (n) nên (v),Verbs
to advise not to,khuyên (n) không nên (v),Verbs
to satisfy,thỏa mãn,Verbs
to face,đối mặt (với),Verbs
to keep,giữ,Verbs
to dare,dám,Verbs
to bathe,tắm,Verbs
to deserve,xứng đáng (với),Verbs
to find out,tìm ra,Verbs
to call (on phone),gọi điện thoại (cho),Verbs
to have a meal,dùng bữa,Verbs
to show,chỉ (cho),Verbs
to go home,về nhà,Verbs
to export,xuất khẩu,Verbs
to import,nhập khẩu,Verbs
to mix,trộn,Verbs
to fly,bay,Verbs
to assume (that),cho rằng,Verbs
to meet,gặp,Verbs
to see,gặp,Verbs
to appear,xuất hiện,Verbs
to continue,tiếp tục,Verbs
to keep,tiếp tục,Verbs
to follow,đi theo,Verbs
to feel (adj),cảm thấy (adj),Verbs
to feel (adj),thấy (adj),Verbs
to hate,ghét,Verbs
to introduce (to),giới thiệu (với),Verbs
to spend time,dành thời gian,Verbs
to come,đến,Verbs
to arrive,đến,Verbs
to get to,đến,Verbs
to define,định nghĩa,Verbs
to create,tạo ra,Verbs
to wait,chờ,Verbs
to wait,đợi,Verbs
to wait,chờ đợi,Verbs
to receive,nhận được,Verbs
to obey,vâng lời,Verbs
to contact,liên hệ (với),Verbs
to explain,giải thích,Verbs
to befriend,làm bạn (với),Verbs
to own,sở hữu,Verbs
to build,xây dựng,Verbs
to build,xây,Verbs
to betray,phản bội,Verbs
to end,kết thúc,Verbs
to finish,kết thúc,Verbs
to notify,thông báo (với / cho),Verbs
to admire (n) (as),ngưỡng mộ (n) (như),Verbs
to prohibit,cấm,Verbs
to ban,cấm,Verbs
to choose,chọn,Verbs
to save (someone),cứu,Verbs
to save (for later),lưu,Verbs
to register (for),đăng ký,Verbs
to attract ,thu hút ,Verbs
to fix,sửa,Verbs
to repair ,sửa,Verbs
to dream,mơ,Verbs
to last,kéo dài,Verbs
to contain,chứa,Verbs
to expire,hết hạn,Verbs
to wish,ước ,Verbs
to fix,khắc phục,Verbs
to overcome,khắc phục,Verbs
to shine,tỏa sáng,Verbs
to get up,dậy,Verbs
to wake up,dậy,Verbs
to explode,nổ,Verbs
to invest (in),đầu tư (vào),Verbs
to teach,dạy,Verbs
to list,liệt kê ,Verbs
to stay up late ,thức khuya,Verbs
to control,kiểm soát ,Verbs
to join (an org),gia nhập (vào),Verbs
to prepare,chuẩn bị,Verbs
to set up,chuẩn bị,Verbs
to originate,bắt nguồn,Verbs
to prove,chứng minh ,Verbs
to demonstrate,chứng minh ,Verbs
to touch,chạm (vào),Verbs
to represent,đại diện (cho),Verbs
to happen,xảy ra,Verbs
to occur,xảy ra,Verbs
to participate,tham gia,Verbs
to join,tham gia,Verbs
to criticize,chỉ trích ,Verbs
to spread (info),lan truyền,Verbs
to consider (n) (as),xem (n) như,Verbs
to take away,lấy đi,Verbs
to bring,mang đến,Verbs
to stay ,ở lại,Verbs
mug,ca,Objects
ferris wheel,đu quay,Objects
umbrella,ô (north),Objects
umbrella,dù (south),Objects
bicycle,xe đạp,Objects
tree,cây,Objects
bamboo,cây tre,Objects
cloud,mây,Objects
stone,hòn đá,Objects
ice,viên đá,Objects
thunder,sấm sét,Objects
lightning,sét,Objects
chair,ghế,Objects
ferryboat,phà,Objects
paper,giấy,Objects
letter (mail),(lá) thư,Objects
string,sợi dây,Objects
newspaper,báo,Objects
menu,thực đơn,Objects
book,sách,Objects
magazine,tạp chí,Objects
plate,đĩa,Objects
glass (cup),ly,Objects
bottle,chai,Objects
bed,giường,Objects
spoon (large),muỗng,Objects
spoon (small),thìa,Objects
table,bàn,Objects
bowl,bát,Objects
window,cửa sổ,Objects
clock,đồng hồ,Objects
watch,đồng hồ đeo tay,Objects
television,tivi,Objects
mirror,gương,Objects
computer,máy tính,Objects
telephone,điện thoại,Objects
battery,pin,Objects
lamp,đèn,Objects
flashlight,đèn pin,Objects
tabacco,thuốc lá,Objects
medicine,thuốc,Objects
leaf,lá,Objects
wallet,ví,Objects
purse,ví,Objects
bag,túi,Objects
pocket,túi,Objects
hand,tay,Objects
arm,tay,Objects
key,chìa khóa,Objects
box,hộp,Objects
brush,bàn chải,Objects
flag,(lá) cờ,Objects
powder,bột,Objects
machine,máy,Objects
hammer,búa,Objects
ladder,thang,Objects
object,vật thể,Objects
photo,ảnh,Objects
picture,ảnh,Objects
fan,quạt,Objects
dictionary,từ điển,Objects
refrigerator,tủ lạnh,Objects
ring,nhẫn,Objects
glasses,kính,Objects
credit card,thẻ tín dụng,Objects
magnet,nam châm,Objects
balloon,(quả) bong bóng,Objects
balloon,bóng bay,Objects
screen,màn hình,Objects
monitor,màn hình,Objects
keyboard,bàn phím,Objects
celebratory card,(cái) thiệp ,Objects
knife,(con) dao,Objects
camera,máy ảnh,Objects
gift,(món) quà,Objects
present,(món) quà,Objects
pencil,bút chì,Objects
kite,diều,Objects
scissors,kéo,Objects
comb,lược,Objects
diary,nhật ký,Objects
sickle,liềm,Objects
tablet,máy tính bảng,Objects
washing machine,máy giặt,Objects
gold,vàng,Objects
lottery ticket,vé số,Objects